ID,parentID,timestamp,topicText,topicNotes,tags,reserved1,reserved2,reserved3,reserved4
1,0,1691336392,"
Виртуальный наставник 
для 
Группы Тайны нумерологии Вадима Безделева ",,,,,0,0
2,1,1691336392,Курсы бота Самоучка ,,,,,0,0
3,2,1691336392,Курс Богатый нумеролог,,Продукты :Нумеролог,,,0,0
4,3,1691336392,"1 урок Курс Богатый нумеролог
",,,,,0,0
5,4,1691336392,Как расчитатть Главное число судьбы,"1. Сложите все цифры даты рождения человека
 
-Если результат суммы превышает 9, необходимо складывать получившиеся числа между собой, пока не получится число в диапазоне от 1 до 9
 ",Сущность:Методика,,,0,0
6,3,1691336392,"2 урок Курс Богатый нумеролог
",,Продукты :Нумеролог,,,0,0
7,6,1691336392,Как поддержать себя людям с цифрой 4 во время экономических кризисов:,"1. Выполняйте что-то стабильное для вас и показывайте окружающим вас людям, что у вас все стабильно и есть все ресурсы для того, чтобы быть счастливым человеком.
 
2. Сфокусируйтесь и начните наращивать свои ресурсы для того, чтобы быть счастливым
 ","Сущность:Методика,Продукты :Нумеролог",,,0,0
8,3,1691336392,"3 урок Курс Богатый нумеролог
",,Продукты :Нумеролог,,,0,0
9,8,1691336392,"Авторс. методика:
Определение цифрового соответствия алфавиту ","1. Напишите порядок цифр в вашем социальном документе от 1 до 9
 
2. Под каждой написанной цифрой расположите букву в соответствии с латинским алфавитом
* (1 это А, 2 это В, 3 это С и т.д.)
 ","Сущность:Методика,Продукты :Нумеролог",,,0,0
10,8,1691336392,Получение числа для анализа на примере паспорта,"1. Сложите все цифры серии и номера вашего паспорта
2. Приведите получившееся число к простому диапазону от 1 до 9, складывая числа, если необходимо
3. Запишите получившееся число для анализа
 ","Сущность:Методика,Продукты :Нумеролог",,,0,0
11,2,1691336392,Базовый курс по нумерологии ,,Продукты :Нумеролог,,,0,0
12,11,1691336392,Базовый  курс по Нумерологии День 4,,Продукты :Нумеролог,,,0,0
13,12,1691336392,"Подсознательная диагностика ""Чего там на антресолях"":"," 
1. Вспомните когда вы влюбились впервые 
2. Опишите как вы выглядели и во что были одеты.
3. Как сложились ваши отношения с первой любовью? Были ли конфликты ссоры?
 
* Событие, которое вы будете вспоминать, является очень значимым и может помочь вам извлечь ресурс энергия для избавления от душевных ран.
 
-Если человек испытывает негативные эмоции относительно прошлых отношений, значит он не вышел из зависимости и не проработал эти эмоции
 ","Сущность:Методика,Продукты :Нумеролог",,,0,0
14,12,1691336392,Расчет своего Главного числа судьбы:,"1. Запишите в столбик числа от 1 до 9
2. Сложите число, месяц, год вашего(партнера) рождения и приведите число к однозначному числу в диапазоне от 1 до 9
 ","Сущность:Методика,Продукты :Нумеролог",,,0,0
15,12,1691336392,"Особенности человека с ЧЖП-1
"," 
Человек-единица страстно и сильно испытывает потребность в любви.
 
Быть первым везде и во всем- главная задача единиц.
 
Альфа-самец или альфа-самка. 
 
Человек вибратор - Куда хочу, туда вибрирую
 
Любят доминировать, властвовать, удовлетворять свои желания, и желания своего партнера в любви. Главное - это смело выражать другой цифре желания своему партнеру/партнерше единице.
 
Единице важно чувствовать, что он/она номер один, самый лучший/самая лучшая.
 ","Сущность:Чек-лист,Сущность:Методика",,,0,0
16,12,1691336392,"Особенности человека с ЧЖП-2 
"," 
Человек-двойка хочет поддержки, заботы. Как оказывать заботу , так и чтобы о нем/ней заботились
 
""Рыба-прилипала"" (в хорошем смысле). Очень важно, чтобы в отношениях все было совместно: Мы идем в театр, мы идем в кино, мы идем в магазин.. и тд.
 
Двойки любят ублажать и удовлетворять потребности их партнера.
В отношениях любят быть любимыми, любят любить, любят так делать, чтобы партнеру и в сексе, и в семье, и в вашем домашнем очаге было комфортно и хорошо
 ","Сущность:Чек-лист,Сущность:Методика",,,0,0
17,12,1691336392,"Особенности человека с ЧЖП-3 
","Человеку- тройке важна семья, дети, потомство. Тройке важен потенциал союза, чтобы в него вступить.
 
Тройки-мужчины: хорошие любовники, любят ухаживать за женщинами. Возносят женщину любой другой цифры на пьедестал. Очень важно кого-то любить и боготворить
 
Тройки-женщины: им важен домашний очаг, важно видеть потенциал и развитие в отношениях. Не вступят в заведомо недолгие отношения.
 ","Сущность:Чек-лист,Сущность:Методика",,,0,0
18,12,1691336392,"Особенности человека с ЧЖП-4 

","Человек-четверка любит стабильность, правила и системы. Их вариант любви должен быть по регламенту, по системе. Всегда соблюдают законы, порядки семьи.
 
Четверки любят подавлять, доминировать, властвовать. Им прекрасно подходят :БДСМ, садо-мазо, жестокость и ролевые игры и тд.
 
Необходимо давать выход энергии, чтобы она не накапливалась и не приводила к жестокости и конфликтам
 ","Сущность:Чек-лист,Сущность:Методика",,,0,0
19,12,1691336392,"Особенности человека с ЧЖП-5 
"," 
Человек-пятерка любит говорить. Романтик, который может окутать вербальными чарами любую/любого
 
Мужчины-пятерки: Романтик. Любит говорить о чувствах.
 
Пятеркам важно чтобы их слушали, слышали и понимали; важно чтобы их партнер разделял их интересы и позволял им реализовывать их романтический потенциал
 ","Сущность:Чек-лист,Сущность:Методика",,,0,0
20,12,1691336392,"Особенности человека с ЧЖП-6 
"," 
Человек-шестерка мечтает найти свою любовь. Могут проводить множество проверок партнера, чтобы убедиться что он/она ""то самое"". 
 
Испытывают сложности с выбором, необходимо время чтобы принять решение.
 
Шестерке важно говорить о любви, чувствовать и ощущать любовь. Важен тактильный контакт, поддержка и понимание, что вы вместе.
 
В отношениях будут всегда выходить за грани: будут смотреть на других, сравнивать.
Шестеркам важно исследовать, т.к из-за низкой самооценки, неуверенности не всегда уверены в своем выборе на 100%
 ","Сущность:Чек-лист,Сущность:Методика",,,0,0
21,1,1691336392,Жизненная нумерология  9-ти дневный Марафон,,,,,0,0
22,21,1691336392,"МАРАФОН: Нумерология. День 1
(Жизненная нумерология)
Экспосхема для загрузки в бота",,,,,0,0
